id_left,id_right
d6822389e5b008be99588dcc2bd9c3f9c572ceb8,476c52cae35165b0f0c7dd2577c3e375aa9d5265
69c4a5fe62af11aae68746518fb6516f9b9cfd43,1c447db73c3ab8b6cf60602cbedc939519893af7
0f789a857bb192570e387a68134531da31ad6fb3,7cbd22cdf6dbcc292b26f8df544dd1f1bec2b60c
7892e9ce5e00c8f65618a946ddde1aa77f32a4e8,4e80338e029d13ef1b7f4154cdd08b6964747a4d
8b115abbe0dfa4853a77b24d421dffd22cd418d9,6ee410814414c21d695220eaf70120e6485e379a
09a5f924e4f4ad8632fa875a961bb56bb29f8537,86a067b423f4abe4c44888032467839c9f98b78b
473c4669bc694faed14217b336da7d5d59ac469c,4103bf8dd0518363a12674a253b188e9d472181a
7275ff00dedf0d33492f022d9e1cab467b2020e1,21b78d59dcaae8155bbb8efc2c72abf8a6192ee0
b4ca17a8c6836f256e2c380f189796a5997663c6,46260cad2b898ceeb79e65109d2688666d6feda6
6982c0c5eb0f827b9a0287ab8e14e43121cbe5d2,2a4a96f6074ee6704ab04c9dd7354349309cfe22
8c32b578c79e5f0e1561493ed779985dd4c0fe87,69d62c3ac4ea394b8e0446c4b1291c7ad3411e19
b8798a24d6241c5885816a28370d8bbe50d5b5c9,958e038c05af8596aced3aa87a12c3228d5f6840
b8798a24d6241c5885816a28370d8bbe50d5b5c9,b46556567bf828b3e215d6d5a6d5254fe29d768e
6ef99b0b8ecfa19f37f24f17db2517c105228366,25c7bf33adc9d93a753c655d4445531ea6a02e9e
958e038c05af8596aced3aa87a12c3228d5f6840,b46556567bf828b3e215d6d5a6d5254fe29d768e
254882b7ddde33765a13b15eb43b20e3d9b3ec44,2ac43aed4b549a7e16bd2b95607be5d356893547
f95cfc762e9b0b8f7c8ec7f22fcb9efe6849425e,12dc46e432f437194a5be826237e7791fcf02d31
9220ff8aec5c193f70e759d0cf39f443319f2883,c7a410b28640717e3871955ac04e74a8c569f497
ac09f0435832aee1df355bb0bb41d0dc0f161aee,b5419aae518853d40b4b995eac01e8123d9a744d
ac09f0435832aee1df355bb0bb41d0dc0f161aee,bfaea7b181d6f46846834572aed424a64151ed43
fa6497133e02fab2aa25dec84fb5f7b051702f37,720c9aa3ba874c20d30b5b9defc4496c3872b2f9
5edbc7bfbe077f5b6aba61589fea6f279260fa7e,d976975b555a843dd5890505f0ddd1f1e52eb882
5edbc7bfbe077f5b6aba61589fea6f279260fa7e,2cb88650a50f234230b03aaf219c8a2c8e400600
d976975b555a843dd5890505f0ddd1f1e52eb882,2cb88650a50f234230b03aaf219c8a2c8e400600
bc82ece52a498d6884bdca3d97f971af376187bb,7a94d72a0b30b848ad6f706350d73f5969b06ce0
fb6ead8113dfa3abdcd3e6907d503888d062c5e3,8d3ba6c7a4b15a0dc136f1f88bab4b0124c976b0
17a4259e9e2cfb3639bd6dcbe7a9bd98dc2182e2,e874e4566ffc56d7386b32dc2aaae778b7b952a7
41b2d0026823b30d034d34369af2a8d49074aa49,1cebd03f4108d3b1eb768633ccf4fd9270f2c975
41b2d0026823b30d034d34369af2a8d49074aa49,8db0a4c387fd5ba17b4cfe78519af7e393b90a89
5cce793da416225a0593f25a786d4f1d16b7af51,fc2ca6e1c2ccd20dc54ee170b15792af5dbc0bfb
6e1612f80a1fff1956cde89e604c4155f3f2538f,fc2ca6e1c2ccd20dc54ee170b15792af5dbc0bfb
10d856dc9a123dca48d34d752e843b533aa87b30,88d05930c10e52fffda4df188ab979f5cce99171
afbf08acf75cd23d5e9b15735b29327f0a7875b4,01b2467756862342a42ce1e8ae63c903f6ab83dd
498c9bae46dd44d81677017ca3a295d16d3861cb,593eeb4913ef2fac48fd75711e02d4d64659f952
ddc1c354050aeed641e36c057a4a37ebeb601243,206275015ba568d13e761b9df51176f2b86f7366
e4569abe2ab1eb793a3e211b7cde3d1657a2c060,fe0787f3629301a40412303cc716d811666c5af7
5eba2db7880e60be9982bd929c1e88964ac410b0,04457ea09aec0bd4a165a3df447832ea0316ddc6
796155df5b3cd9e33aea18751b0c295b96fa9590,441d131e3852da572be2764c708f6666cb2c9c19
4c1c7ec449e6268149ca4d7761c7b1ab12ebc15e,3b42f456174bc96f4dfa4134ec16ea07cdfb766a
9c3892e3e05ee19528b3d7125ba8760a5d7e89cd,d5d938063f4515b43f4dfa5d9197011c411ebcbb
9c3892e3e05ee19528b3d7125ba8760a5d7e89cd,d435ca54810e6a8a6440049abeb8845bfd1340f5
43ab20b241584c42da94f2df9797d6c0120e26a1,c4d0ceef9ffc0534676dc16f461eb7e159487bb1
43ab20b241584c42da94f2df9797d6c0120e26a1,0a84c14f532f7fc7bdad87b7bf70e20c2a1cfa80
c4d0ceef9ffc0534676dc16f461eb7e159487bb1,0a84c14f532f7fc7bdad87b7bf70e20c2a1cfa80
9ecc44d6fdffc51d6f979a3c2b86f05d3954ab3b,e39eb83645711d27556370b08a13c94d3c0380dc
e447e0d8520960ab66cf79ff4c86d04e249343fa,d0d45497a8ce11e66329ae9d79e4552339260db8
ce5c7314b4a43f781580aeaf564453f5052d931c,7ec6d11c8a3a78b0a03bd6450303157bf0adfd89
73b68b00681135ad220b408ff9132c595c66719d,e08986d66e556afb3cd06816e52ccb596d8c3890
9eb320b0fb46634e232244fd12d6b5ecd896db13,5df00d0c19f5b74cab5f31a8e757be70c4854733
9eb320b0fb46634e232244fd12d6b5ecd896db13,1821e4d7506a1a3965373d275de2c3192850aa01
5df00d0c19f5b74cab5f31a8e757be70c4854733,1821e4d7506a1a3965373d275de2c3192850aa01
6d63756e213fb125a6e68b3f0c0dd0c00ace91cf,a3330da4c67b3046b5d562e2aea81d39a11a4b14
37d820730193806b1448bc844c917f9f5cd4780a,585ffb500e0b4a535d8275fef1caf2dfa56f5f8c
37d820730193806b1448bc844c917f9f5cd4780a,a138a4eb20c3a70c2f031371fd200b4cd9f7db1c
37d820730193806b1448bc844c917f9f5cd4780a,fd7204bb7a51d94706a99a0a871d8a8d2c3ae7da
585ffb500e0b4a535d8275fef1caf2dfa56f5f8c,a138a4eb20c3a70c2f031371fd200b4cd9f7db1c
585ffb500e0b4a535d8275fef1caf2dfa56f5f8c,fd7204bb7a51d94706a99a0a871d8a8d2c3ae7da
